"(u'$100',)","(u'$50.50',)","(u'New York Black Belt Center',)","(u'Up to 55% off Kickboxing Classes with Gloves',)","(u'https://www.groupon.com/deals/new-york-black-belt-center-1',)","([(u'Bayside', u'+17182240855')],)"
"(u'$120',)","(u'$29',)","(u'CKO HANOVER',)","(u'Up to 76% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/cko-hanover',)","([(u'Upper Vailsburg', u'+19732407348')],)"
"(u'$22',)","(u'$12',)","(u'Central Park Bike Tours',)","(u'Up to 51% off Bike Rental',)","(u'https://www.groupon.com/deals/central-park-bike-tours-1-1',)","([(u'Central Park Bike Tours', u'+19172832453')],)"
"(u'$120',)","(u'$39',)","(u'CKO Kickboxing',)","(u'Up to 77% off Kickboxing',)","(u'https://www.groupon.com/deals/cko-kickboxing-bloomingdale',)","([],)"
"(u'$135',)","(u'$30',)","(u'AmeriKick Martial Arts - Brooklyn',)","(u'Up to 78% off Muay Thai Kickboxing Classes',)","(u'https://www.groupon.com/deals/amerikick-martial-arts-brooklyn',)","([(u'Brooklyn', u'+17185677099'), (u'Brooklyn', u'+17187688200')],)"
"(u'$125',)","(u'$39',)","(u'Five Star Kickboxing',)","(u'Up to 76% off Kickboxing',)","(u'https://www.groupon.com/deals/five-star-kickboxing',)","([],)"
"(u'$82',)","(u'$55',)","(u'Manhattan Plaza Health Club',)","(u'Up to 34% off Private Climbing Lesson',)","(u'https://www.groupon.com/deals/manhattan-plaza-health-club-1',)","([(u'Midtown', u'+12125637001')],)"
"(u'$185',)","(u'$59',)","(u'FMA Center',)","(u'Up to 68% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/fma-center',)","([(u'River Edge', u'+12012657000')],)"
"(u'$100',)","(u'$19',)","(u'Rise Brooklyn',)","(u'Up to 86% off Fitness Classes',)","(u'https://www.groupon.com/deals/rise-brooklyn',)","([(u'Brooklyn', u'+17187688200')],)"
"(u'$136',)","(u'$59',)","(u'Keith Grassing Golf Lessons',)","(u'Up to 62% off Private Golf Lessons',)","(u'https://www.groupon.com/deals/golf-channel-academy-essex-county-golf-center-1',)","([(u'Upper Vailsburg', u'+19085315960')],)"
"(u'$22',)","(u'$12',)","(u'Central Park Bike Ride',)","(u'Up to 51% off Bicycle Rental',)","(u'https://www.groupon.com/deals/central-park-bike-ride',)","([(u'Central Park Bike Ride', u'+19172832453')],)"
"(u'$150',)","(u'$29',)","(u""America's Ultimate Martial Arts Academy"",)","(u'Up to 84% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/america-s-ultimate-martial-arts-academy',)","([(u'Canarsie', u'+13476736611')],)"
